"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Units Ordered - B2B","Unit Session Percentage","Unit Session Percentage - B2B","Ordered Product Sales","Ordered Product Sales - B2B","Total Order Items","Total Order Items - B2B"
"B0854ML535","B07X5DNRR7","36 Piece Allen Wrench Set - Allen Wrenches/Hex Key Set in Metric & SAE Sizes","PL-IFT-ALW-36SAEMET","55","0.09%","57","0.07%","98%","11","3","20.00%","5.45%","$164.45","$44.85","10","3"
"B07PDZY8VY","B07YGBWJC7","Play Platoon Professional Cornhole Bags - Set of 8 Improved Regulation All Weather Two Sided American Flag Bean Bags for Pro Corn Hole Game - 4 Stars & 4 Stripes","PL-PP-CHPRO2-FLAG","372","0.63%","513","0.66%","99%","143","3","38.44%","0.81%","$4,488.68","$95.47","141","3"
"B07PDZY8VY","B07YGN6MKJ","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Improved Bean Bags for Pro Corn Hole Game - 4 Red & 4 Gray","PL-PP-CHPRO2-REGR","212","0.36%","250","0.32%","100%","67","3","31.60%","1.42%","$1,951.70","$87.85","65","3"
"B07PDZY8VY","B07YGR9ZDJ","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Improved Bean Bags for Pro Corn Hole Game - 4 Red & 4 Black","PL-PP-CHPRO2-REBK","297","0.50%","362","0.47%","100%","131","3","44.11%","1.01%","$4,094.65","$94.75","121","3"
"B07PDZY8VY","B07YGWZS2L","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Improved Bean Bags for Pro Corn Hole Game - 4 Blue & 4 Black","PL-PP-CHPRO2-BLBK","821","1.39%","1,080","1.40%","100%","135","6","16.44%","0.73%","$3,971.63","$181.15","130","3"
"B07PDZY8VY","B07ZTMFWSS","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Bean Bags for Pro Corn Hole Game - 4 Hunter Green & 4 Black","PL-PP-CHPRO2-HGBK","109","0.18%","145","0.19%","99%","58","3","53.21%","2.75%","$1,626.50","$83.85","55","3"
"B07PDZY8VY","B07ZTNKQ6W","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Bean Bags for Pro Corn Hole Game - 4 Orange & 4 Royal Blue","PL-PP-CHPRO2-ORBL","179","0.30%","242","0.31%","100%","99","3","55.31%","1.68%","$2,603.25","$82.85","92","3"
"B07HKLFJGV","B081HCXRZQ","6 Foot Lighted Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","PL-IFC-123Y06","214","0.36%","301","0.39%","99%","124","7","57.94%","3.27%","$2,075.67","$120.19","98","3"
"B081TKHB32","B081HCZ2G6","50 Ft Outdoor Extension Cord with 3 Electrical Power Outlets - 16/3 SJTW Durable Black Cable","PL-IFC-163B50P","35","0.06%","52","0.07%","100%","21","3","60.00%","8.57%","$460.95","$65.85","20","3"
"B089DQ2MV2","B089DMZKND","3 Prong Dryer Cord - 10 Ft Extension Power Cord, 10/3 SRDT, 30 Amp, NEMA 10-30 Plug, Gray","PL-IFC-103DRY-GY10","208","0.35%","280","0.36%","100%","103","3","49.52%","1.44%","$3,546.51","$103.40","103","3"
"B08YKGM1WK","B08B6FYHW4","100 Ft All Weather Extension Cord with 3 Electrical Power Outlets - Stays Flexible in Extreme Cold & Hot Temperatures from -58°F to +221°F - 12/3 SJEOW Heavy Duty Lighted Outdoor Cable","PL-IFC-AW123BL100P","41","0.07%","57","0.07%","100%","16","3","39.02%","7.32%","$1,263.84","$236.97","16","3"
"B08ZDSVDQN","B08FXPPNP2","2 Pack of 10 Foot Lighted Outdoor Extension Cords - 10/3 SJTW Yellow 10 Gauge Extension Cable with 3 Prong Grounded Plug for Safety","PL-IFC-103Y10-2PK","99","0.17%","142","0.18%","100%","16","3","16.16%","3.03%","$753.60","$141.30","16","3"
